類別,標題
政治,藍委控吳秉叡不在議場卻有投票　吳思瑤：離場議事人員一定馬上抽卡
政治,開鍘！林于倫捲徐巧芯大姑詐騙案　民進黨中評會無異議除名
政治,台灣貧富差距66.9倍　趙少康細看數據提解方：學孫中山「漲價歸公」
政治,吳秉叡不在議場卻有投票？　藍委質疑代按、偽造文書
政治,賴清德珍奶甜度表情包　吳崢看完問老闆：要幫忙戳吸管嗎？
政治,周杰倫、五月天機會來了！大巨蛋演唱會解方出爐　北市明發函遠雄
政治,沒聽說修反滲透法？　蕭旭岑還原馬朱會：朱立倫當場叫智庫擬案
政治,「試用期薪水不低於80%」他一算：比22K還低　牛煦庭喊不可能發生
政治,柯文哲京華城、北士科案延燒！民眾黨曝14份訪談紀錄　批藍綠誤導大眾
政治,藍委擬修《勞基法》7大修正方向曝光　鼓勵企業為員工加薪
政治,京華城案柯文哲容積大方送？　黃珊珊：有問題就送檢調
政治,徐巧芯夫家被爆「早知大姑詐騙洗錢案」　吳思瑤：謊言無助釐清真相
政治,幫徐巧芯大姑吃案？律師怒發3聲明澄清　又認「從高中就認識」
政治,台南議長賄選案10被告無罪　柯文哲：舉國譁然、違反常識！
政治,朱立倫勸賴清德制止網軍攻擊歪風　林俊憲酸：車都翻了還爬進去
政治,范雲提5大勞動政策改革　喊話新勞動部長：再多給一個月育嬰津貼
政治,學者指傅崐萁若遊說直航「觸反滲透法」　黃捷批台版吳三桂
政治,傳進入國安會任職！林飛帆晚間回應了
政治,又是他！躲徐巧芯住家對面「偷窺」挨告　詭異男身分曝光
政治,立委鄭正鈐臉書發文質疑高鐵採購案　籲蔡英文：防止影響國際形象
政治,網紅撒錢險釀災！許淑華呼籲北市府規範　「避免梨泰院慘劇上演」
政治,吳釗燮：維持台海現狀至為重要　若中國威權擴張全球皆受害
政治,傳林飛帆任國安會要職　許宇甄：是在報當年學運之恩？
政治,徐巧芯踩《刑法》洩密罪　黃暐瀚分析：不可能不起訴
政治,傳林飛帆將入國安會任職　綠委點三面向很適合：外交、協調、新時代
政治,北市保母50到69歲占64％　喘息服務7月上路
政治,藍提修法拉高罷免門檻　綠指「幫謝國樑解套」：明目張膽球員兼裁判
